,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
Calcrl,Calcrl,54598,"AV071593, CRLR",calcitonin receptor-like,,2_84330626_84425426,16, 2.65 ,3,2.65,19.97233658,1.396789023,0.519350421,2.689492422,0.0072,0.99974,3,2.63, 8.7 , 83.3 , 25.2 , 11.7 , 12.8 , 32.3 , 8.0 , 3.0 , 18.7 , 9.3 , 11.4 , 15.1 ,,,,,,,,
5031425F14Rik,5031425F14Rik,319684,0,RIKEN cDNA 5031425F14 gene,,2_166447451_166458770,3, -   ,#DIV/0!,#DIV/0!,1.296065197,-3.56233181,1.334311909,-2.669789415,0.0076,0.99974,12,-11.81, -   , -   , -   , -   , -   , -   , 1.6 , 4.2 , -   , 5.2 , 3.1 , 1.5 ,,,,,,,,
Eif4g2,Eif4g2,13690,"DAP-5, E130105L11Rik, Nat1, Natm1, p97","eukaryotic translation initiation factor 4, gamma 2",,7_111067985_111083030,22, 1.58 ,2,1.58,205.3601775,0.655021014,0.246175443,2.660789418,0.0078,0.99974,2,1.57, 133.0 , 320.7 , 309.7 , 180.6 , 263.0 , 301.6 , 161.6 , 146.8 , 210.4 , 116.1 , 135.0 , 185.7 ,,,,,,,,
Nfrkb,Nfrkb,235134,A530090G11Rik,nuclear factor related to kappa B binding protein,,9_31386161_31421333,26, 0.05 ,19,-18.75,1.914606845,-3.432015498,1.294996669,-2.650211834,0.0080,0.99974,11,-10.79, -   , -   , -   , -   , 1.2 , -   , 0.7 , 1.2 , 7.8 , -   , 3.1 , 9.1 ,,,,,,,,
Poglut1,Poglut1,224143,"9630046K23Rik, Clp46, Ktelc1, Rumi",protein O-glucosyltransferase 1,,16_38525058_38550257,11, 0.50 ,2,-2.00,15.17153213,-1.056687237,0.400014731,-2.64162081,0.0083,0.99974,2,-2.08, 7.0 , 7.6 , 12.6 , 10.5 , 7.0 , 16.2 , 26.2 , 33.4 , 14.0 , 16.6 , 16.0 , 15.1 ,,,,,,,,
Aldh1a1,Aldh1a1,11668,"Ahd-2, Ahd2, Aldh1, Aldh1a2, E1, Raldh1","aldehyde dehydrogenase family 1, subfamily A1",,19_20601982_20643462,13, 1.44 ,1,1.44,15909.93079,0.527953797,0.199874665,2.641424306,0.0083,0.99974,1,1.44," 17,343.7 "," 21,066.7 "," 15,624.6 "," 14,523.5 "," 16,805.8 "," 27,369.7 "," 10,735.3 "," 12,900.1 "," 16,242.6 "," 11,220.3 "," 11,373.8 "," 15,713.2 ",,,,,,,,
Haus3,Haus3,231123,"D4S43h, D5H4S43, D5H4S43E","HAUS augmin-like complex, subunit 3",,5_34153896_34169424,5, 2.12 ,2,2.12,12.3889708,1.079273348,0.408754242,2.640396691,0.0083,0.99974,2,2.11, 13.9 , 17.7 , 26.4 , 11.1 , 14.0 , 18.0 , 7.3 , 10.9 , 9.4 , 7.3 , 3.8 , 9.1 ,,,,,,,,
P2ry12,P2ry12,70839,"2900079B22Rik, 4921504D23Rik, P2Y12","purinergic receptor P2Y, G-protein coupled 12",,3_59216271_59263014,5, 1.87 ,2,1.87,102.0760146,0.904678707,0.344560835,2.625599355,0.0086,0.99974,2,1.87, 88.7 , 161.6 , 242.0 , 48.7 , 137.3 , 120.3 , 78.9 , 66.1 , 132.5 , 45.6 , 50.4 , 52.9 ,,,,,,,,
Evi2b,Evi2b,216984,"Evi-2, Evi2",ecotropic viral integration site 2b,,11_79513385_79523762,2, 18.46 ,18,18.46,2.531412033,3.222844078,1.228452708,2.623498696,0.0087,0.99974,9,9.34, 0.9 , 17.7 , 1.1 , 6.2 , 1.2 , 1.8 , 1.6 , -   , -   , -   , -   , -   ,,,,,,,,
Wipi1,Wipi1,52639,"4930533H01Rik, AW411817, D11Ertd498e","WD repeat domain, phosphoinositide interacting 1",,11_109573521_109611389,13, 1.93 ,2,1.93,161.9056492,0.940923733,0.361961531,2.599513074,0.0093,0.99974,2,1.92, 153.0 , 272.7 , 295.9 , 105.4 , 275.8 , 175.9 , 173.9 , 112.9 , 204.1 , 43.5 , 48.1 , 81.5 ,,,,,,,,
Socs1,Socs1,12703,"Cish1, Cish7, JAB, SOCS-1, SSI-1",suppressor of cytokine signaling 1,,16_10783808_10785536,2, 0.19 ,5,-5.34,3.016049676,-2.639645642,1.024673734,-2.576084029,0.0100,0.99974,6,-6.23, 0.9 , 2.5 , 1.1 , -   , 1.2 , -   , 0.9 , 1.8 , 3.1 , 4.1 , 14.5 , 6.0 ,,,,,,,,
Setd3,Setd3,52690,"2610102I01Rik, 2610305M23Rik, 6030490B17Rik, D12Ertd771e",SET domain containing 3,,12_108106431_108179462,15, 1.39 ,1,1.39,339.4602269,0.469579732,0.182944046,2.566794286,0.0103,0.99974,1,1.38, 441.7 , 391.4 , 316.6 , 328.6 , 345.6 , 543.9 , 284.4 , 295.5 , 325.7 , 255.0 , 289.9 , 255.2 ,,,,,,,,
Arrdc1,Arrdc1,215705,"AI957342, BC004091",arrestin domain containing 1,,2_24925352_24935335,9, 0.55 ,2,-1.81,36.72442088,-0.818142332,0.320758234,-2.550651066,0.0108,0.99974,2,-1.76, 26.1 , 15.2 , 11.5 , 48.7 , 26.8 , 28.7 , 56.2 , 55.2 , 42.1 , 41.5 , 49.6 , 39.3 ,,,,,,,,
Letm2,Letm2,270035,"6030453H13, D030041N04Rik",leucine zipper-EF-hand containing transmembrane protein 2,,8_25578482_25597984,14, 0.26 ,4,-3.91,4.759776857,-1.949111224,0.766796642,-2.541888054,0.0110,0.99974,4,-3.86, 2.6 , 2.5 , 1.1 , 1.2 , 2.3 , 1.8 , 4.9 , 3.0 , 21.8 , 2.1 , 10.7 , 3.0 ,,,,,,,,
Cib3,Cib3,234421,"C730014M21Rik, Gm1107, KIP3",calcium and integrin binding family member 3,,8_72204335_72213086,6, 1.49 ,1,1.49,78.85803774,0.59258846,0.235821621,2.51286738,0.0120,0.99974,2,1.51, 92.2 , 113.6 , 84.9 , 90.0 , 86.1 , 98.7 , 35.7 , 61.9 , 81.0 , 66.3 , 60.3 , 75.5 ,,,,,,,,
Mzt1,Mzt1,76789,"2410129H14Rik, AI120158, Mozart1",mitotic spindle organizing protein 1,,14_99034544_99046136,3, 1.53 ,2,1.53,278.7926779,0.612166722,0.244137614,2.507465821,0.0122,0.99974,2,1.53, 295.7 , 487.3 , 255.8 , 268.8 , 265.3 , 450.6 , 163.4 , 219.0 , 190.1 , 203.2 , 191.5 , 354.9 ,,,,,,,,
Uap1,Uap1,107652,"AA420407, AA437972, AGX-1, AGX-2, AGX1, AgX, ESTM38, SPAG2",UDP-N-acetylglucosamine pyrophosphorylase 1,,1_170141223_170174964,12, 2.16 ,2,2.16,20.23149687,1.055119941,0.421411695,2.503774701,0.0123,0.99974,2,2.08, 14.8 , 22.7 , 21.8 , 30.2 , 44.2 , 32.3 , 24.3 , 14.6 , 18.7 , 9.3 , 5.3 , 4.5 ,,,,,,,,
Reep3,Reep3,28193,D10Ucla1,receptor accessory protein 3,,10_67009189_67096988,12, 2.32 ,2,2.32,15.80681659,1.070343187,0.427807692,2.501925997,0.0124,0.99974,2,2.10, 19.1 , 25.3 , 13.8 , 16.0 , 27.9 , 30.5 , 16.8 , 17.0 , 4.7 , 4.1 , 8.4 , 6.0 ,,,,,,,,
Phc3,Phc3,241915,"E030046K01Rik, Edr3, Hph3",polyhomeotic-like 3 (Drosophila),,3_30899295_30969479,17, 6.28 ,6,6.28,2.600071857,2.357425346,0.944759478,2.495265092,0.0126,0.99974,5,5.12, 4.3 , -   , 6.9 , 5.5 , 1.2 , 9.0 , 1.4 , 0.6 , -   , -   , 2.3 , -   ,,,,,,,,
Eif1ad,Eif1ad,69860,"2010003J03Rik, AI131644",eukaryotic translation initiation factor 1A domain containing,,19_5366813_5371511,6, 0.59 ,2,-1.69,36.78635366,-0.733400626,0.294471451,-2.490566144,0.0128,0.99974,2,-1.66, 16.5 , 22.7 , 41.3 , 37.0 , 16.3 , 30.5 , 49.6 , 40.7 , 53.0 , 46.6 , 37.4 , 49.8 ,,,,,,,,
Fggy,Fggy,75578,2310009E04Rik,FGGY carbohydrate kinase domain containing,,4_95557474_95926939,25, 0.20 ,5,-5.02,2.78626278,-2.590690971,1.046801832,-2.474862856,0.0133,0.99974,6,-6.02, -   , 2.5 , -   , 1.2 , -   , 1.8 , 2.1 , 2.4 , 10.9 , 1.0 , 9.9 , 1.5 ,,,,,,,,
Prss34,Prss34,328780,"C130091P12, Mcp11, mMcp-11","protease, serine 34",,17_25298394_25300168,5, 0.48 ,2,-2.09,29.00587131,-0.95037986,0.384043921,-2.474664504,0.0133,0.99974,2,-1.93, 20.0 , 7.6 , 18.4 , 42.5 , 15.1 , 9.0 , 21.3 , 38.8 , 45.2 , 41.5 , 32.8 , 55.9 ,,,,,,,,
Sp4,Sp4,20688,"5730497N03Rik, HF-1b, HF1-b",trans-acting transcription factor 4,,12_118231686_118301440,6, 6.46 ,6,6.46,2.153366917,2.494126244,1.008559275,2.472959503,0.0134,0.99974,6,5.63, 3.5 , 10.1 , 3.4 , 1.2 , 2.3 , 1.8 , 0.7 , 1.2 , 1.6 , -   , -   , -   ,,,,,,,,
N4bp2l1,N4bp2l1,100637,"2410024N18Rik, AI428195, B230342M21Rik",NEDD4 binding protein 2-like 1,,5_150571643_150594525,5, 0.34 ,3,-2.95,5.811148305,-1.513697306,0.613702908,-2.466498508,0.0136,0.99974,3,-2.86, 3.5 , -   , 3.4 , 1.8 , 3.5 , 5.4 , 9.4 , 8.5 , 14.0 , 10.4 , 2.3 , 7.6 ,,,,,,,,
Ocel1,Ocel1,77090,"9430098E02Rik, AI326022, AI593544",occludin/ELL domain containing 1,,8_71371298_71373689,4, 0.49 ,2,-2.05,15.51114173,-1.045175315,0.425764465,-2.454820451,0.0141,0.99974,2,-2.06, 9.6 , 7.6 , 13.8 , 5.5 , 17.5 , 7.2 , 21.8 , 17.0 , 6.2 , 20.7 , 33.6 , 25.7 ,,,,,,,,
Slc39a3,Slc39a3,106947,"AI845814, Zip3","solute carrier family 39 (zinc transporter), member 3",,10_81028540_81037421,5, 0.50 ,2,-1.98,17.29485742,-0.919800666,0.37471986,-2.454635486,0.0141,0.99974,2,-1.89, 7.8 , 7.6 , 17.2 , 11.1 , 15.1 , 10.8 , 16.3 , 14.0 , 26.5 , 22.8 , 23.7 , 34.7 ,,,,,,,,
N6amt2,N6amt2,0,#N/A,#N/A,,#N/A,#N/A, 0.56 ,2,-1.78,33.44727347,-0.788847754,0.322058717,-2.449391098,0.0143,0.99974,2,-1.73, 20.0 , 25.3 , 25.2 , 34.5 , 19.8 , 19.7 , 31.7 , 22.5 , 56.1 , 65.3 , 43.5 , 37.8 ,,,,,,,,
Spty2d1,Spty2d1,101685,"5830435K17Rik, AI852426, P16H6","SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae)",,7_46990396_47008414,6, 2.84 ,3,2.84,9.149296926,1.309635461,0.53490573,2.448348161,0.0144,0.99974,2,2.48, 12.2 , 22.7 , 12.6 , 3.7 , 17.5 , 12.6 , 8.2 , 7.3 , 4.7 , 3.1 , 5.3 , -   ,,,,,,,,
Slc39a1,Slc39a1,30791,"Zip1, Zirtl","solute carrier family 39 (zinc transporter), member 1",,3_90248192_90253613,4, 0.55 ,2,-1.83,18.02128319,-0.957003615,0.391297955,-2.445715861,0.0145,0.99974,2,-1.94, 8.7 , 12.6 , 5.7 , 8.6 , 17.5 , 23.3 , 32.3 , 26.1 , 23.4 , 26.9 , 14.5 , 16.6 ,,,,,,,,
Ccdc63,Ccdc63,330188,4921511C16Rik,coiled-coil domain containing 63,,5_122108052_122138083,18, 7.43 ,7,7.43,1.690406935,2.900040427,1.186006426,2.445214767,0.0145,0.99974,7,7.46, 4.3 , 2.5 , 5.7 , 0.6 , 4.7 , -   , -   , 0.6 , -   , 1.0 , 0.8 , -   ,,,,,,,,
Exosc5,Exosc5,27998,D7Wsu180e,exosome component 5,,7_25659153_25668032,6, 0.54 ,2,-1.86,34.46090941,-0.824462137,0.337272397,-2.444499295,0.0145,0.99974,2,-1.77, 27.0 , 10.1 , 25.2 , 38.2 , 34.9 , 9.0 , 42.3 , 34.0 , 49.9 , 37.3 , 67.9 , 37.8 ,,,,,,,,
Cd55,Cd55,13136,"Daf, Daf-GPI, Daf1, GPI-DAF","CD55 molecule, decay accelerating factor for complement",,1_130429789_130463021,13, 1.48 ,1,1.48,97.48571643,0.554524524,0.227245543,2.440199784,0.0147,0.99974,1,1.47, 117.4 , 136.4 , 117.0 , 109.7 , 104.7 , 113.1 , 98.0 , 87.4 , 112.2 , 60.1 , 58.0 , 55.9 ,,,,,,,,
2310004I24Rik,2310004I24Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.50 ,2,-1.99,21.31999681,-0.967101703,0.397028906,-2.435847085,0.0149,0.99974,2,-1.95, 9.6 , 5.1 , 5.7 , 22.8 , 24.4 , 18.0 , 36.6 , 26.1 , 15.6 , 37.3 , 33.6 , 21.1 ,,,,,,,,
Eif2s2,Eif2s2,67204,"2810026E11Rik, 38kDa, AA408636, AA571381, AA986487, AW822225, D2Ertd303e, EIF2, EIF2B","eukaryotic translation initiation factor 2, subunit 2 (beta)",,2_154871410_154892906,9, 1.71 ,2,1.71,205.9393226,0.771137372,0.316660329,2.435219389,0.0149,0.99974,2,1.71, 162.6 , 333.3 , 295.9 , 132.6 , 264.1 , 369.8 , 175.8 , 111.0 , 269.6 , 86.0 , 86.2 , 184.2 ,,,,,,,,
Mthfd2,Mthfd2,17768,"AW558851, NMDMC","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase",,6_83305704_83326035,10, 1.57 ,2,1.57,593.0714469,0.647201325,0.267347471,2.420824569,0.0155,0.99974,2,1.57, 660.0 , 856.0 , 464.5 , 521.0 , 672.5 ," 1,172.2 ", 629.3 , 381.7 , 634.2 , 271.6 , 349.4 , 504.4 ,,,,,,,,
Cdk5,Cdk5,12568,"AW048668, Crk6",cyclin-dependent kinase 5,,5_24407597_24423591,13, 0.50 ,2,-1.99,17.56222858,-0.93463937,0.386756815,-2.416607371,0.0157,0.99974,2,-1.91, 11.3 , 5.1 , 14.9 , 19.1 , 9.3 , 10.8 , 25.0 , 24.3 , 24.9 , 31.1 , 27.5 , 7.6 ,,,,,,,,
Sh3bgrl,Sh3bgrl,56726,1190008F14Rik,SH3-binding domain glutamic acid-rich protein like,,X_109095407_109162467,4, 1.71 ,2,1.71,290.8197517,0.778907456,0.322439227,2.415672134,0.0157,0.99974,2,1.72, 179.1 , 525.2 , 329.2 , 258.3 , 390.9 , 520.6 , 150.2 , 179.0 , 450.4 , 177.2 , 116.7 , 212.9 ,,,,,,,,
Rnf166,Rnf166,68718,"1110031E24Rik, AW555115, Zfp313l",ring finger protein 166,,8_122466145_122476068,6, 0.51 ,2,-1.97,22.71635981,-0.898812595,0.3725646,-2.412501333,0.0158,0.99974,2,-1.86, 20.0 , 5.1 , 13.8 , 24.7 , 14.0 , 14.4 , 30.3 , 38.2 , 26.5 , 11.4 , 32.0 , 42.3 ,,,,,,,,
Zranb1,Zranb1,360216,"9330160G10Rik, D7Wsu87e, Gm1956, Trabid","zinc finger, RAN-binding domain containing 1",,7_132931142_132985411,13, 1.83 ,2,1.83,33.46927818,0.834523651,0.347440624,2.401917314,0.0163,0.99974,2,1.78, 26.1 , 30.3 , 56.2 , 25.9 , 47.7 , 73.6 , 37.5 , 21.2 , 31.2 , 15.5 , 18.3 , 18.1 ,,,,,,,,
Med27,Med27,68975,"1500015J03Rik, 2310042P07Rik, AA682045, Crsp8, D2Ertd434e",mediator complex subunit 27,,2_29346810_29524790,12, 0.44 ,2,-2.26,10.76257244,-1.107391267,0.466117632,-2.375776394,0.0175,0.99974,2,-2.15, 7.0 , 2.5 , 4.6 , 6.8 , 11.6 , 7.2 , 15.3 , 8.5 , 7.8 , 23.8 , 11.4 , 22.7 ,,,,,,,,
Ccdc21,Ccdc21,0,#N/A,#N/A,,#N/A,#N/A, 0.54 ,2,-1.85,21.29834894,-0.827182567,0.348334645,-2.374677853,0.0176,0.99974,2,-1.77, 15.7 , 12.6 , 11.5 , 24.7 , 16.3 , 9.0 , 27.4 , 18.8 , 21.8 , 28.0 , 41.2 , 28.7 ,,,,,,,,
Ogfrl1,Ogfrl1,70155,2210417C17Rik,opioid growth factor receptor-like 1,,1_23366424_23383210,7, 2.01 ,2,2.01,31.75839469,1.03487363,0.43617248,2.372624768,0.0177,0.99974,2,2.05, 48.7 , 20.2 , 81.4 , 17.9 , 59.3 , 26.9 , 26.2 , 16.4 , 39.0 , 4.1 , 16.8 , 24.2 ,,,,,,,,
Vps54,Vps54,245944,"Hcc8l, mSLP8, wr, Vps54",VPS54 GARP complex subunit,,11_21238571_21321133,24, 2.31 ,2,2.31,14.87638485,1.079580577,0.455354178,2.370859059,0.0177,0.99974,2,2.11, 11.3 , 17.7 , 39.0 , 14.2 , 20.9 , 21.5 , 17.9 , 9.1 , 3.1 , 9.3 , 11.4 , 3.0 ,,,,,,,,
